Turkey,14.026625000000000
Turkmenistan,18.613500000000000
Turks And Caicas Islands,27.440555555555600
Uganda,24.024625
Ukraine,10.913500000000000
United Arab Emirates,29.370625000000000
United Kingdom (Europe),9.10825
United Kingdom,8.9975
United States,11.297111111111100
Uruguay,16.754375000000000
Uzbekistan,16.18825
Venezuela,25.912875
Vietnam,25.232125
Virgin Islands,27.31233333333330
W. Sahara,23.74425
Yemen,28.12975
Zambia,21.196
Zimbabwe,21.196
